filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
20201124_092900.jpg,2833744,"{}",254,0,"{""name"":""rect"",""x"":40,""y"":309,""width"":47,""height"":53}","{""class"":""Arandano Maduro""}"
20201124_092900.jpg,2833744,"{}",254,1,"{""name"":""rect"",""x"":242,""y"":802,""width"":30,""height"":33}","{""class"":""Arandano Maduro""}"
20201124_092900.jpg,2833744,"{}",254,2,"{""name"":""rect"",""x"":242,""y"":839,""width"":39,""height"":37}","{""class"":""Arandano Maduro""}"
20201124_092900.jpg,2833744,"{}",254,3,"{""name"":""rect"",""x"":358,""y"":975,""width"":25,""height"":28}","{""class"":""Arandano Pinton""}"
20201124_092900.jpg,2833744,"{}",254,4,"{""name"":""rect"",""x"":388,""y"":951,""width"":29,""height"":35}","{""class"":""Arandano Pinton""}"
20201124_092900.jpg,2833744,"{}",254,5,"{""name"":""rect"",""x"":419,""y"":904,""width"":31,""height"":30}","{""class"":""Arandano Pinton""}"
20201124_092900.jpg,2833744,"{}",254,6,"{""name"":""rect"",""x"":451,""y"":916,""width"":25,""height"":30}","{""class"":""Arandano Pinton""}"
20201124_092900.jpg,2833744,"{}",254,7,"{""name"":""rect"",""x"":1781,""y"":709,""width"":45,""height"":50}","{""class"":""Arandano Maduro""}"
20201124_092900.jpg,2833744,"{}",254,8,"{""name"":""rect"",""x"":1854,""y"":663,""width"":33,""height"":39}","{""class"":""Arandano Maduro""}"
20201124_092900.jpg,2833744,"{}",254,9,"{""name"":""rect"",""x"":1830,""y"":687,""width"":37,""height"":36}","{""class"":""Arandano Maduro""}"
20201124_092900.jpg,2833744,"{}",254,10,"{""name"":""rect"",""x"":1857,""y"":706,""width"":35,""height"":39}","{""class"":""Arandano Maduro""}"
20201124_092900.jpg,2833744,"{}",254,11,"{""name"":""rect"",""x"":1792,""y"":754,""width"":38,""height"":29}","{""class"":""Arandano Pinton""}"
20201124_092900.jpg,2833744,"{}",254,12,"{""name"":""rect"",""x"":271,""y"":1133,""width"":40,""height"":39}","{""class"":""Arandano Maduro""}"
20201124_092900.jpg,2833744,"{}",254,13,"{""name"":""rect"",""x"":434,""y"":1169,""width"":27,""height"":22}","{""class"":""Arandano Maduro""}"
20201124_092900.jpg,2833744,"{}",254,14,"{""name"":""rect"",""x"":482,""y"":1164,""width"":31,""height"":33}","{""class"":""Arandano Maduro""}"
20201124_092900.jpg,2833744,"{}",254,15,"{""name"":""rect"",""x"":724,""y"":1155,""width"":43,""height"":36}","{""class"":""Arandano Maduro""}"
20201124_092900.jpg,2833744,"{}",254,16,"{""name"":""rect"",""x"":733,""y"":1185,""width"":44,""height"":33}","{""class"":""Arandano Maduro""}"
20201124_092900.jpg,2833744,"{}",254,17,"{""name"":""rect"",""x"":653,""y"":1152,""width"":25,""height"":24}","{""class"":""Arandano Verde""}"
20201124_092900.jpg,2833744,"{}",254,18,"{""name"":""rect"",""x"":683,""y"":1149,""width"":24,""height"":25}","{""class"":""Arandano Verde""}"
20201124_092900.jpg,2833744,"{}",254,19,"{""name"":""rect"",""x"":673,""y"":1175,""width"":21,""height"":22}","{""class"":""Arandano Verde""}"
20201124_092900.jpg,2833744,"{}",254,20,"{""name"":""rect"",""x"":688,""y"":1165,""width"":29,""height"":24}","{""class"":""Arandano Verde""}"
20201124_092900.jpg,2833744,"{}",254,21,"{""name"":""rect"",""x"":644,""y"":1177,""width"":39,""height"":37}","{""class"":""Arandano Maduro""}"
20201124_092900.jpg,2833744,"{}",254,22,"{""name"":""rect"",""x"":832,""y"":1120,""width"":29,""height"":33}","{""class"":""Arandano Verde""}"
20201124_092900.jpg,2833744,"{}",254,23,"{""name"":""rect"",""x"":857,""y"":1135,""width"":31,""height"":32}","{""class"":""Arandano Verde""}"
20201124_092900.jpg,2833744,"{}",254,24,"{""name"":""rect"",""x"":864,""y"":1192,""width"":27,""height"":28}","{""class"":""Arandano Verde""}"
20201124_092900.jpg,2833744,"{}",254,25,"{""name"":""rect"",""x"":887,""y"":1185,""width"":27,""height"":25}","{""class"":""Arandano Verde""}"
20201124_092900.jpg,2833744,"{}",254,26,"{""name"":""rect"",""x"":885,""y"":1102,""width"":28,""height"":28}","{""class"":""Arandano Verde""}"
20201124_092900.jpg,2833744,"{}",254,27,"{""name"":""rect"",""x"":916,""y"":1096,""width"":24,""height"":28}","{""class"":""Arandano Verde""}"
20201124_092900.jpg,2833744,"{}",254,28,"{""name"":""rect"",""x"":952,""y"":1097,""width"":30,""height"":27}","{""class"":""Arandano Verde""}"
20201124_092900.jpg,2833744,"{}",254,29,"{""name"":""rect"",""x"":960,""y"":1126,""width"":32,""height"":24}","{""class"":""Arandano Verde""}"
20201124_092900.jpg,2833744,"{}",254,30,"{""name"":""rect"",""x"":929,""y"":1113,""width"":25,""height"":30}","{""class"":""Arandano Verde""}"
20201124_092900.jpg,2833744,"{}",254,31,"{""name"":""rect"",""x"":905,""y"":1167,""width"":31,""height"":29}","{""class"":""Arandano Verde""}"
20201124_092900.jpg,2833744,"{}",254,32,"{""name"":""rect"",""x"":886,""y"":1142,""width"":31,""height"":30}","{""class"":""Arandano Verde""}"
20201124_092900.jpg,2833744,"{}",254,33,"{""name"":""rect"",""x"":118,""y"":1201,""width"":70,""height"":52}","{""class"":""Arandano Maduro""}"
20201124_092900.jpg,2833744,"{}",254,34,"{""name"":""rect"",""x"":216,""y"":1296,""width"":65,""height"":56}","{""class"":""Arandano Maduro""}"
