filename,xmin,ymin,xmax,ymax,label
images/20201124_092900.jpg,40,309,87,362,Arandano Maduro
images/20201124_092900.jpg,242,802,272,835,Arandano Maduro
images/20201124_092900.jpg,242,839,281,876,Arandano Maduro
images/20201124_092900.jpg,358,975,383,1003,Arandano Pinton
images/20201124_092900.jpg,388,951,417,986,Arandano Pinton
images/20201124_092900.jpg,419,904,450,934,Arandano Pinton
images/20201124_092900.jpg,451,916,476,946,Arandano Pinton
images/20201124_092900.jpg,1781,709,1826,759,Arandano Maduro
images/20201124_092900.jpg,1854,663,1887,702,Arandano Maduro
images/20201124_092900.jpg,1830,687,1867,723,Arandano Maduro
images/20201124_092900.jpg,1857,706,1892,745,Arandano Maduro
images/20201124_092900.jpg,1792,754,1830,783,Arandano Pinton
images/20201124_092900.jpg,271,1133,311,1172,Arandano Maduro
images/20201124_092900.jpg,434,1169,461,1191,Arandano Maduro
images/20201124_092900.jpg,482,1164,513,1197,Arandano Maduro
images/20201124_092900.jpg,724,1155,767,1191,Arandano Maduro
images/20201124_092900.jpg,733,1185,777,1218,Arandano Maduro
images/20201124_092900.jpg,653,1152,678,1176,Arandano Verde
images/20201124_092900.jpg,683,1149,707,1174,Arandano Verde
images/20201124_092900.jpg,673,1175,694,1197,Arandano Verde
images/20201124_092900.jpg,688,1165,717,1189,Arandano Verde
images/20201124_092900.jpg,644,1177,683,1214,Arandano Maduro
images/20201124_092900.jpg,832,1120,861,1153,Arandano Verde
images/20201124_092900.jpg,857,1135,888,1167,Arandano Verde
images/20201124_092900.jpg,864,1192,891,1220,Arandano Verde
images/20201124_092900.jpg,887,1185,914,1210,Arandano Verde
images/20201124_092900.jpg,885,1102,913,1130,Arandano Verde
images/20201124_092900.jpg,916,1096,940,1124,Arandano Verde
images/20201124_092900.jpg,952,1097,982,1124,Arandano Verde
images/20201124_092900.jpg,960,1126,992,1150,Arandano Verde
images/20201124_092900.jpg,929,1113,954,1143,Arandano Verde
images/20201124_092900.jpg,905,1167,936,1196,Arandano Verde
images/20201124_092900.jpg,886,1142,917,1172,Arandano Verde
images/20201124_092900.jpg,118,1201,188,1253,Arandano Maduro
images/20201124_092900.jpg,216,1296,281,1352,Arandano Maduro
images/20201124_092900.jpg,235,1359,295,1419,Arandano Maduro
images/20201124_092900.jpg,174,1383,242,1438,Arandano Maduro
images/20201124_092900.jpg,181,1339,234,1392,Arandano Pinton
images/20201124_092900.jpg,52,1363,122,1422,Arandano Maduro
images/20201124_092900.jpg,474,1271,515,1312,Arandano Maduro
images/20201124_092900.jpg,471,1346,518,1393,Arandano Maduro
images/20201124_092900.jpg,739,1326,768,1354,Arandano Maduro
images/20201124_092900.jpg,738,1355,766,1379,Arandano Maduro
images/20201124_092900.jpg,766,1341,786,1364,Arandano Maduro
images/20201124_092900.jpg,951,1245,982,1277,Arandano Maduro
images/20201124_092900.jpg,965,1282,1001,1306,Arandano Maduro
images/20201124_092900.jpg,984,1310,1017,1345,Arandano Maduro
images/20201124_092900.jpg,968,1333,999,1362,Arandano Maduro
images/20201124_092900.jpg,961,1362,991,1393,Arandano Maduro
images/20201124_092900.jpg,995,1373,1017,1396,Arandano Pinton
images/20201124_092900.jpg,954,1392,981,1423,Arandano Verde
images/20201124_092900.jpg,1001,1161,1032,1197,Arandano Maduro
images/20201124_092900.jpg,1035,1179,1067,1209,Arandano Maduro
images/20201124_092900.jpg,1000,1220,1027,1243,Arandano Pinton
images/20201124_092900.jpg,1028,1243,1052,1268,Arandano Pinton
images/20201124_092900.jpg,1040,1219,1067,1241,Arandano Pinton
images/20201124_092900.jpg,980,1255,1009,1284,Arandano Maduro
images/20201124_092900.jpg,1065,1151,1094,1178,Arandano Pinton
images/20201124_092900.jpg,1035,1146,1064,1175,Arandano Pinton
images/20201124_092900.jpg,1140,1169,1169,1200,Arandano Maduro
images/20201124_092900.jpg,1164,1156,1196,1189,Arandano Maduro
images/20201124_092900.jpg,1242,1186,1270,1213,Arandano Maduro
images/20201124_092900.jpg,1202,1237,1237,1275,Arandano Maduro
images/20201124_092900.jpg,1196,1273,1228,1303,Arandano Maduro
images/20201124_092900.jpg,1323,1137,1351,1169,Arandano Maduro
images/20201124_092900.jpg,1287,1180,1319,1210,Arandano Maduro
images/20201124_092900.jpg,1197,1122,1226,1147,Arandano Pinton
images/20201124_092900.jpg,1117,1195,1144,1223,Arandano Pinton
images/20201124_092900.jpg,1149,1217,1179,1245,Arandano Pinton
images/20201124_092900.jpg,1142,1252,1172,1293,Arandano Pinton
images/20201124_092900.jpg,1112,1261,1142,1294,Arandano Pinton
images/20201124_092900.jpg,984,1403,1023,1434,Arandano Verde
images/20201124_092900.jpg,1290,1104,1314,1139,Arandano Maduro
images/20201124_092900.jpg,1333,1215,1361,1245,Arandano Pinton
images/20201124_092900.jpg,1341,1245,1364,1268,Arandano Pinton
images/20201124_092900.jpg,1335,1267,1362,1292,Arandano Pinton
